Date,Forecasted_Transaction_Revenue,Store_Location
2023-07-01,1725.2016287804681,Orlando
2023-07-02,1728.8140191395041,Orlando
2023-07-03,1732.4264094985401,Orlando
2023-07-04,1736.0387998575761,Orlando
2023-07-05,1739.6511902166121,Orlando
2023-07-06,1743.2635805756481,Orlando
2023-07-07,1746.8759709346843,Orlando
2023-07-08,1750.4883612937203,Orlando
2023-07-09,1754.1007516527563,Orlando
2023-07-10,1757.7131420117923,Orlando
2023-07-11,1761.3255323708283,Orlando
2023-07-12,1764.9379227298643,Orlando
2023-07-13,1768.5503130889003,Orlando
2023-07-14,1772.1627034479363,Orlando
2023-07-15,1775.7750938069723,Orlando
2023-07-16,1779.3874841660083,Orlando
2023-07-17,1782.9998745250443,Orlando
2023-07-18,1786.6122648840803,Orlando
2023-07-19,1790.2246552431166,Orlando
2023-07-20,1793.8370456021526,Orlando
2023-07-21,1797.4494359611886,Orlando
2023-07-22,1801.0618263202246,Orlando
2023-07-23,1804.6742166792606,Orlando
2023-07-24,1808.2866070382966,Orlando
2023-07-25,1811.8989973973326,Orlando
2023-07-26,1815.5113877563685,Orlando
2023-07-27,1819.1237781154045,Orlando
2023-07-28,1822.7361684744405,Orlando
2023-07-29,1826.3485588334765,Orlando
2023-07-30,1829.9609491925125,Orlando
2023-07-31,1833.5733395515485,Orlando
2023-08-01,1837.1857299105845,Orlando
2023-08-02,1840.7981202696208,Orlando
2023-08-03,1844.4105106286568,Orlando
2023-08-04,1848.0229009876928,Orlando
2023-08-05,1851.6352913467288,Orlando
2023-08-06,1855.2476817057648,Orlando
2023-08-07,1858.8600720648008,Orlando
2023-08-08,1862.4724624238368,Orlando
2023-08-09,1866.0848527828728,Orlando
2023-08-10,1869.6972431419088,Orlando
2023-08-11,1873.3096335009448,Orlando
2023-08-12,1876.9220238599808,Orlando
2023-08-13,1880.534414219017,Orlando
2023-08-14,1884.146804578053,Orlando
2023-08-15,1887.759194937089,Orlando
2023-08-16,1891.371585296125,Orlando
2023-08-17,1894.983975655161,Orlando
2023-08-18,1898.596366014197,Orlando
2023-08-19,1902.208756373233,Orlando
2023-08-20,1905.821146732269,Orlando
2023-08-21,1909.433537091305,Orlando
2023-08-22,1913.045927450341,Orlando
2023-08-23,1916.658317809377,Orlando
2023-08-24,1920.270708168413,Orlando
2023-08-25,1923.883098527449,Orlando
2023-08-26,1927.495488886485,Orlando
2023-08-27,1931.107879245521,Orlando
2023-08-28,1934.7202696045572,Orlando
2023-08-29,1938.3326599635932,Orlando
2023-08-30,1941.9450503226292,Orlando
2023-08-31,1945.5574406816652,Orlando
2023-09-01,1949.1698310407012,Orlando
2023-09-02,1952.7822213997372,Orlando
2023-09-03,1956.3946117587732,Orlando
2023-09-04,1960.0070021178092,Orlando
2023-09-05,1963.6193924768452,Orlando
2023-09-06,1967.2317828358812,Orlando
2023-09-07,1970.8441731949172,Orlando
2023-09-08,1974.4565635539534,Orlando
2023-09-09,1978.0689539129894,Orlando
2023-09-10,1981.6813442720254,Orlando
2023-09-11,1985.2937346310614,Orlando
2023-09-12,1988.9061249900974,Orlando
2023-09-13,1992.5185153491334,Orlando
2023-09-14,1996.1309057081694,Orlando
2023-09-15,1999.7432960672054,Orlando
2023-09-16,2003.3556864262414,Orlando
2023-09-17,2006.9680767852774,Orlando
2023-09-18,2010.5804671443134,Orlando
2023-09-19,2014.1928575033494,Orlando
2023-09-20,2017.8052478623854,Orlando
2023-09-21,2021.4176382214214,Orlando
2023-09-22,2025.0300285804574,Orlando
2023-09-23,2028.6424189394936,Orlando
2023-09-24,2032.2548092985296,Orlando
2023-09-25,2035.8671996575656,Orlando
2023-09-26,2039.4795900166016,Orlando
2023-09-27,2043.0919803756376,Orlando
2023-09-28,2046.7043707346736,Orlando
2023-09-29,2050.31676109371,Orlando
2023-09-30,2053.929151452746,Orlando
2023-10-01,2057.541541811782,Orlando
2023-10-02,2061.153932170818,Orlando
2023-10-03,2064.766322529854,Orlando
2023-10-04,2068.37871288889,Orlando
2023-10-05,2071.991103247926,Orlando
2023-10-06,2075.603493606962,Orlando
2023-10-07,2079.215883965998,Orlando
2023-10-08,2082.828274325034,Orlando
2023-10-09,2086.44066468407,Orlando
2023-10-10,2090.053055043106,Orlando
2023-10-11,2093.665445402142,Orlando
2023-10-12,2097.277835761178,Orlando
2023-10-13,2100.890226120214,Orlando
2023-10-14,2104.50261647925,Orlando
2023-10-15,2108.115006838286,Orlando
2023-10-16,2111.727397197322,Orlando
2023-10-17,2115.339787556358,Orlando
2023-10-18,2118.952177915394,Orlando
2023-10-19,2122.56456827443,Orlando
2023-10-20,2126.176958633466,Orlando
2023-10-21,2129.789348992502,Orlando
2023-10-22,2133.401739351538,Orlando
2023-10-23,2137.014129710574,Orlando
2023-10-24,2140.62652006961,Orlando
2023-10-25,2144.2389104286462,Orlando
2023-10-26,2147.8513007876822,Orlando
2023-10-27,2151.4636911467182,Orlando
2023-10-28,2155.0760815057542,Orlando
2023-10-29,2158.6884718647902,Orlando
2023-10-30,2162.3008622238262,Orlando
2023-10-31,2165.9132525828622,Orlando
2023-11-01,2169.5256429418982,Orlando
2023-11-02,2173.1380333009342,Orlando
2023-11-03,2176.7504236599702,Orlando
2023-11-04,2180.3628140190062,Orlando
2023-11-05,2183.9752043780422,Orlando
2023-11-06,2187.5875947370782,Orlando
2023-11-07,2191.1999850961142,Orlando
2023-11-08,2194.8123754551502,Orlando
2023-11-09,2198.4247658141862,Orlando
2023-11-10,2202.0371561732222,Orlando
2023-11-11,2205.6495465322582,Orlando
2023-11-12,2209.261936891294,Orlando
2023-11-13,2212.87432725033,Orlando
2023-11-14,2216.486717609366,Orlando
2023-11-15,2220.099107968402,Orlando
2023-11-16,2223.711498327438,Orlando
2023-11-17,2227.3238886864747,Orlando
2023-11-18,2230.9362790455107,Orlando
2023-11-19,2234.5486694045467,Orlando
2023-11-20,2238.1610597635827,Orlando
2023-11-21,2241.7734501226187,Orlando
2023-11-22,2245.3858404816547,Orlando
2023-11-23,2248.9982308406907,Orlando
2023-11-24,2252.6106211997267,Orlando
2023-11-25,2256.2230115587627,Orlando
2023-11-26,2259.8354019177987,Orlando
2023-11-27,2263.4477922768347,Orlando
2023-11-28,2267.0601826358707,Orlando
2023-11-29,2270.6725729949067,Orlando
2023-11-30,2274.2849633539427,Orlando
2023-12-01,2277.8973537129787,Orlando
